iter	Logloss
0	0.6639393452
1	0.6388213068
2	0.6132716052
3	0.5916785808
4	0.5713598114
5	0.5521126377
6	0.5338417531
7	0.5173162273
8	0.5026571907
9	0.4886833352
10	0.4762175652
11	0.4644440621
12	0.454535478
13	0.4448383469
14	0.4372079111
15	0.4303554854
16	0.4226493168
17	0.4152635166
18	0.4084675243
19	0.40219002
20	0.396537269
21	0.3912345655
22	0.3861205766
23	0.382161097
24	0.3776558026
25	0.3735521833
26	0.3697142274
27	0.3659681073
28	0.3625398373
29	0.3590703896
30	0.3561098711
31	0.3539819953
32	0.3508339923
33	0.3481219826
34	0.3455353655
35	0.3433776439
36	0.3411287172
37	0.3392777442
38	0.3375166861
39	0.3352096986
40	0.3338798295
41	0.3320183207
42	0.330769141
43	0.3290102945
44	0.3279829913
45	0.3268005647
46	0.3257056544
47	0.3243963462
48	0.3231560021
49	0.3220997892
50	0.3211130858
51	0.319578805
52	0.3184335135
53	0.3173569114
54	0.3161119379
55	0.3153326278
56	0.3144104645
57	0.3132536279
58	0.3127208909
59	0.3119536127
60	0.3111082376
61	0.3103994134
62	0.3098412138
63	0.3091523956
64	0.308423855
65	0.3077504151
66	0.3071833517
67	0.3064495889
68	0.305555214
69	0.3046419819
70	0.3037851342
71	0.3032770816
72	0.3023473588
73	0.3017864502
74	0.3012777186
75	0.3007547735
76	0.3001498485
77	0.2994078892
78	0.2987376646
79	0.2982725754
80	0.2978628907
81	0.2973715207
82	0.2965599685
83	0.2961178478
84	0.295662316
85	0.2950774997
86	0.2946021713
87	0.2942396278
88	0.2938081976
89	0.2931077069
90	0.2926025223
91	0.2920822321
92	0.2915519553
93	0.2909317606
94	0.2903802461
95	0.2900542153
96	0.2895846478
97	0.2888941048
98	0.2885536147
99	0.2881633301
100	0.287691186
101	0.2874449601
102	0.2869046915
103	0.2865767806
104	0.2861188422
105	0.2855144414
106	0.2849224354
107	0.2846164177
108	0.2843753309
109	0.2839372984
110	0.2835680254
111	0.2830727735
112	0.2827473099
113	0.2824598641
114	0.2819745539
115	0.281531913
116	0.2812924303
117	0.2810350921
118	0.2806796228
119	0.2803628504
120	0.2799763257
121	0.2795955526
122	0.2792157507
123	0.2787781362
124	0.2785253526
125	0.2781104559
126	0.2777548674
127	0.2773996912
128	0.2771626351
129	0.2765292361
130	0.2762513385
131	0.2759565367
132	0.2755808621
133	0.2752834661
134	0.2749568189
135	0.2747124558
136	0.2743174544
137	0.2738938356
138	0.2735783078
139	0.2733178761
140	0.2729960918
141	0.2726464011
142	0.2717729542
143	0.2715081041
144	0.2713078051
145	0.2710944613
146	0.2707107867
147	0.2704960171
148	0.270259015
149	0.2699183268
150	0.269602684
151	0.2694067124
152	0.2691674705
153	0.2686753605
154	0.2684099116
155	0.2680987491
156	0.2677795918
157	0.2675050234
158	0.2673669587
159	0.2671853714
160	0.266917066
161	0.2665060171
162	0.266150286
163	0.2658401366
164	0.2655244457
165	0.2652643888
166	0.2650444223
167	0.2648424498
168	0.264471711
169	0.2641292219
170	0.263856631
171	0.2636024965
172	0.2631923009
173	0.2629146273
174	0.2627432545
175	0.2624738272
176	0.2622382943
177	0.2617885808
178	0.2615416378
179	0.2613669915
180	0.2609794557
181	0.2606503132
182	0.260299441
183	0.2600737113
184	0.2597483334
185	0.259597498
186	0.2592668108
187	0.2590139408
188	0.2587203516
189	0.2585065577
190	0.2581882694
191	0.2576799429
192	0.2573821218
193	0.2572486207
194	0.2569576244
195	0.2568080985
196	0.2563621269
197	0.2561258176
198	0.2559336159
199	0.2557721287
200	0.2555145399
201	0.2551920152
202	0.2547512935
203	0.2543243548
204	0.2540652389
205	0.2538791362
206	0.2535374744
207	0.2532311227
208	0.2530873134
209	0.2528616619
210	0.2526281456
211	0.252436442
212	0.2522467721
213	0.2521015577
214	0.2520060882
215	0.2517719892
216	0.2516365413
217	0.251495854
218	0.2511920975
219	0.2508432609
220	0.2506113883
221	0.2504541656
222	0.2503157892
223	0.2502114866
224	0.2500131933
225	0.2497695141
226	0.2496505636
227	0.2494920128
228	0.2493323704
229	0.249224594
230	0.2488660738
231	0.2486203726
232	0.2484541376
233	0.2481394282
234	0.2479845205
235	0.2478120812
236	0.2475938626
237	0.2473947432
238	0.2472147348
239	0.24702268
240	0.2468346036
241	0.2466605678
242	0.2465617245
243	0.2463701952
244	0.2460909708
245	0.2458314571
246	0.2456358121
247	0.2454594526
248	0.2453236143
249	0.2450831602
