iter	Passed	Remaining
0	11	11629
1	21	10690
2	30	10099
3	40	10063
4	49	9780
5	59	9829
6	68	9769
7	77	9667
8	87	9651
9	97	9655
10	107	9674
11	116	9578
12	125	9547
13	135	9520
14	144	9482
15	155	9538
16	164	9536
17	175	9564
18	184	9529
19	193	9482
20	202	9456
21	211	9418
22	220	9383
23	229	9330
24	238	9310
25	247	9272
26	256	9251
27	265	9205
28	274	9188
29	283	9181
30	292	9153
31	301	9118
32	310	9093
33	319	9072
34	328	9050
35	336	9022
36	346	9020
37	355	8999
38	364	8988
39	374	8976
40	384	8993
41	393	8982
42	402	8954
43	411	8938
44	420	8915
45	429	8916
46	438	8897
47	448	8889
48	458	8892
49	467	8883
50	476	8866
51	485	8851
52	495	8849
53	503	8827
54	513	8821
55	522	8811
56	531	8788
57	539	8769
58	548	8741
59	556	8725
60	565	8704
61	573	8680
62	582	8656
63	590	8641
64	599	8617
65	607	8600
66	615	8573
67	624	8555
68	632	8534
69	640	8510
70	648	8485
71	656	8463
72	664	8438
73	672	8414
74	680	8390
75	688	8370
76	696	8352
77	705	8336
78	712	8310
79	721	8293
80	728	8269
81	737	8252
82	744	8229
83	752	8206
84	760	8182
85	768	8168
86	776	8146
87	783	8122
88	790	8095
89	798	8072
90	805	8047
91	813	8023
92	820	8005
93	828	7983
94	835	7963
95	843	7944
96	851	7926
97	858	7902
98	866	7882
99	873	7865
100	880	7840
101	888	7819
102	895	7794
103	902	7775
104	909	7755
105	917	7736
106	924	7713
107	930	7689
108	938	7667
109	945	7646
110	952	7629
111	959	7608
112	966	7586
113	973	7563
114	980	7544
115	987	7523
116	993	7501
117	1001	7486
118	1008	7466
119	1015	7450
120	1023	7432
121	1031	7420
122	1038	7405
123	1047	7399
124	1054	7382
125	1062	7366
126	1069	7353
127	1076	7335
128	1084	7322
129	1092	7310
130	1100	7302
131	1108	7286
132	1116	7277
133	1123	7259
134	1131	7247
135	1138	7235
136	1147	7226
137	1154	7213
138	1163	7207
139	1172	7200
140	1180	7189
141	1187	7173
142	1196	7168
143	1203	7154
144	1210	7138
145	1218	7126
146	1226	7115
147	1233	7103
148	1241	7088
149	1250	7085
150	1257	7070
151	1265	7057
152	1272	7042
153	1280	7032
154	1286	7015
155	1293	7000
156	1301	6985
157	1307	6969
158	1314	6954
159	1322	6944
160	1330	6933
161	1337	6918
162	1346	6911
163	1353	6902
164	1361	6891
165	1369	6878
166	1376	6867
167	1384	6855
168	1391	6844
169	1399	6830
170	1406	6817
171	1414	6807
172	1421	6796
173	1429	6785
174	1436	6773
175	1445	6766
176	1452	6754
177	1461	6747
